Event,Site,Date,Round,White,Black,Result,ECO,Opening,Termination,TimeControl,UTCDate,UTCTime,Variant,Moves,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff
Rated Blitz game,https://lichess.org/ZKrMa2Tq,2023.03.06,?,Hsouna1,stevewhoo,1-0,C30,King's Gambit Declined: Queen's Knight Defense,Normal,180+0,2023.03.06,07:23:23,Standard,e2e4 e7e5 f2f4 b8c6 g1f3 d7d6 f1c4 c8e6 c4e6 f7e6 f4e5 c6e5 e1g1 h7h6 d2d4 e5f3 d1f3 g8f6 e4e5 d6e5 d4e5 d8d4 c1e3 d4e5 c2c3 e8c8 e3d4 e5g5 b1d2 f8e7 h2h3 f6d5 d2e4 g5g6 a1d1 h8f8 f3d3 f8f1 d1f1 d8f8 e4d6 c7d6 d3g6 f8f1 g1f1 e7f6 g6e8 c8c7 e8e6 f6d4 c3d4 d5b6 e6f7 b6d7 f7g7,1519,1529,+18,-6
Rated Blitz game,https://lichess.org/tygQU3SK,2023.03.05,?,markjoshuaarmstrong,Hsouna1,1-0,B32,Sicilian Defense: Open,Normal,180+0,2023.03.05,13:30:41,Standard,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d7d6 d4c6 b7c6 b1c3 g8f6 f1d3 g7g6 c1g5 f8g7 e1g1 h7h6 g5e3 e8g8 d1d2 g6g5 h2h4 f6h7 h4g5 h7g5 e3g5 h6g5 d2g5 e7e6 g5h5 a8b8 e4e5 f7f5 e5f6 d8f6 h5h7 g8f7 h7h5 f7e7 a1e1 c8d7 e1e2 f8h8 h5f3 f6h6 f3h3 h6f6 h3g3 b8b2 f1e1 e7d8 g3d6 f6c3 e2e6 b2b7 d6e7 d8c8 e6e3 h8e8 e7d6 e8d8 d3a6 d7e8 a6b7 c8b7 d6d8 e8g6 d8e7 b7b6 e3c3 g7c3 e7e3 c6c5 e3c3 b6c6 c3g3 g6c2 g3g4 c6b5 f2f4 a7a5 g4e2 b5a4 e2c2 a4a3 c2c5 a3a2 c5a5 a2b2 e1e4 b2c2 a5d5 c2c3 d5d4 c3c2 e4e3 c2c1 d4d3 c1b2 e3e2 b2c1 d3d2 c1b1 d2b2,1507,1538,+6,-19
Rated Blitz game,https://lichess.org/bdo2BJIz,2023.03.05,?,Hsouna1,augustus_aurelius,0-1,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",Normal,180+0,2023.03.05,13:27:58,Standard,e2e4 c7c6 d2d4 d7d5 e4e5 c6c5 g1f3 c8g4 c2c3 b8c6 h2h3 g4f3 d1f3 e7e6 f1b5 g8e7 c1g5 h7h6 g5h4 g7g5 h4g3 e7f5 b5c6 b7c6 b1d2 c5d4 c3d4 f5d4 f3c3 d4f5 c3c6 e8e7 e1g1 f8g7 a1c1 f5g3 f2g3 g7e5 d2f3 e5g3 c6c5 g3d6 c5d4 f7f6 f3h2 d6e5 d4c5 e5d6 c5d4 a8b8 d4f6 e7d7 f6g7 d6e7 f1f7 h8g8 g7h6 b8b2 h6g5 d8b6 g1h1 g8g5,1558,1543,-20,+5
Rated Rapid game,https://lichess.org/qNzoaMoS,2023.03.03,?,Hsouna1,Atilaelazote,1-0,C25,Vienna Game,Normal,900+10,2023.03.03,12:42:50,Standard,e2e4 e7e5 b1c3 d7d6 f1c4 a7a6 d2d3 h7h6 g1f3 b8c6 c1e3 g8f6 d1d2 c8g4 e1c1 c6a5 c4b3 a5b3 a2b3 f8e7 c1b1 g4e6 f3h4 f6g4 h4f5 e6f5 e4f5 g4e3 f2e3 d8d7 e3e4 e7g5 d2f2 c7c6 h2h4 g5f6 g2g4 e8c8 f2a7 c8c7 c3a4 d8a8 a7b6 c7c8 b6e3 b7b5 a4b6,1488,1428,+44,-4
Rated Rapid game,https://lichess.org/OpE8y3Vk,2023.03.03,?,Hsouna1,kokojohn15,1-0,B23,Sicilian Defense: Closed,Normal,900+10,2023.03.03,12:25:10,Standard,e2e4 c7c5 b1c3 d7d6 f1c4 g8f6 g1f3 g7g6 d2d3 f8g7 a2a3 e8g8 c1e3 e7e6 d1d2 b7b6 e3h6 d6d5 h6g7 g8g7 e4d5 e6d5 c4a2 f8e8 c3e2 c8g4 e1c1 b8c6 d1e1 d5d4 f3g5 f6d5 e2f4 g4f5 f4d5 e8e1 h1e1 h7h6 g5f3 b6b5 d5f4 c5c4 d3c4 b5c4 a2c4 c6a5 c4d3 f5d3 f4d3 a5c4 d2b4 a8c8 b2b3 c4a5 b4d4,1415,1479,+73,-6
Rated Blitz game,https://lichess.org/RFbYjDtN,2023.03.02,?,Hsouna1,OthmanHassan,0-1,C26,"Vienna Game: Stanley Variation, Reversed Spanish",Normal,180+0,2023.03.02,11:02:55,Standard,e2e4 e7e5 b1c3 g8f6 f1c4 f8b4 d2d3 e8g8 c1d2 b4c3 d2c3 b8c6 c4b3 d7d6 d1d2 c8e6 b3e6 f7e6 f2f3 d6d5 b2b3 d5d4 c3b2 a7a5 b2a3 f8e8 g1e2 b7b5 e1g1 b5b4 a3b2 c6e7 d2e1 e7g6 e1g3 c7c5 f3f4 e5f4 e2f4 g6f4 f1f4 d8d6 f4f6 d6g3 h2g3 g7f6 a1f1 g8f7 b2c1 e6e5 g3g4 e8g8 g4g5 g8g6 g1h2 a8e8 g5f6 g6f6 f1f6 f7f6 c1h6 f6g6 h6d2 e8f8 d2e1 f8f1 e1g3 g6f6 g3h4 f6e6 h4d8 f1f2 d8a5 f2c2 a5b6 c2a2 b6c5 a2a3 c5b4 a3b3 b4c5 b3d3 g2g4 d3e3 g4g5 e3e4 g5g6 h7g6 h2g2 e4f4 g2g3 g6g5 g3g2 g5g4 g2g3 d4d3 c5e3 f4e4 e3d2 e6f5 d2c3 e4e2 g3h4 d3d2 c3d2 e2d2 h4g3 d2d4 g3f2 d4f4 f2e3 g4g3 e3e2 g3g2 e2e3 g2g1q e3e2 g1d4 e2e1 d4e3 e1d1 f4d4 d1c2 d4d2 c2c1 e3e1,1475,1500,-25,+5
Rated Rapid game,https://lichess.org/RDvtYV20,2023.03.01,?,ffmpartizan,Hsouna1,1-0,B13,Caro-Kann Defense: Exchange Variation,Normal,600+5,2023.03.01,23:26:11,Standard,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 b1c3 g8f6 g1f3 c8g4 f1e2 b8c6 h2h3 g4h5 g2g4 h5g6 h3h4 h7h6 h4h5 g6h7 e2d3 h7d3 d1d3 e7e6 g4g5 f6g4 h1h4 c6b4 d3e2 h6g5 c1g5 g4f6 g5f6 d8f6 e1c1 f8d6 e2b5 b4c6 b5b7 e8g8 b7c6 d6b4 h4h3 a8c8 c6a6 b4c3 b2c3 c8c3 a6f1 f8c8 f3e1 f6f4 d1d2 c3c4 f1h1 c8b8 h3b3 b8b3 a2b3 c4d4 e1d3 f4g5 f2f4 g5h6 h1g1 h6h5 g1d4 h5h1 d2d1 h1f3 d4f2 f3e4 d1e1 e4f5 e1h1 f5f6 c1d2 g8f8 f2a7 g7g6 a7a8 f8e7 a8b7 e7d6 b7b6 d6e7 d3c5 f6d4 d2c1 d4a1 c1d2 a1h1 b6c7 e7f6 c7d8 f6f5 d8g5,1489,1487,+5,-72
Rated Rapid game,https://lichess.org/xlX7p8bN,2023.03.01,?,Hsouna1,Rafrouf,1-0,B23,Sicilian Defense: Closed,Normal,600+5,2023.03.01,23:11:02,Standard,e2e4 c7c5 b1c3 e7e5 g1f3 d7d6 f1c4 h7h6 e1g1 c8g4 h2h3 g4d7 d2d3 g7g5 c1e3 g5g4 h3g4 d7g4 d1d2 g4f3 g2f3 h6h5 g1g2 f8h6 e3h6 g8h6 f1h1 h8g8 g2f1 d8g5 d2g5 g8g5 c3d5 e8d8 d5f6 b8c6 f6h5 c6d4 h5g3 d4f3 h1h6 f3d2 f1e2 d2c4 h6h8 d8c7 h8a8 c4b2 a8f8 c7c6 f8f7 c5c4 a1b1 c4d3 c2d3 b2a4 b1b7 a4c3 e2d2 c3b5 a2a4 b5d4 f7c7,1403,1369,+84,-4
Rated Rapid game,https://lichess.org/e3EbHOuF,2023.03.01,?,Hsouna1,bachar53,1-0,C25,Vienna Game,Normal,600+5,2023.03.01,22:57:08,Standard,e2e4 e7e5 b1c3 d7d6 g1f3 g8f6 h2h3 c8d7 f1c4 f8e7 e1g1 e8g8 d2d4 e5d4 d1d4 b8c6 d4d3 c6b4 d3e2 c7c6 a2a3 b7b5 c4f7 f8f7 a3b4 f6h5 f3h2 h5f6 c1f4 d6d5 a1d1 f6e4 c3e4 d5e4 e2e4 e7f6 d1d6 a8c8 f1d1 f6e7 d6d7 d8e8 e4e6 g8h8 d7d8 c8d8 d1d8 e8d8 e6f7 d8d1 h2f1 d1d8 f1e3 h7h6 e3f5 d8d1 g1h2 d1c2 f5e7,1283,1268,+120,-4
Rated Blitz game,https://lichess.org/xzRVtswS,2022.08.01,?,Hsouna1,thomase24,0-1,B10,Caro-Kann Defense,Normal,180+2,2022.08.01,18:14:14,Standard,e2e4 c7c6 f2f4 d7d5 e4d5 c6d5 g1f3 g8f6 c2c3 b8c6 d2d4 c8g4 b1d2 e7e6 h2h3 g4h5 g2g4 h5g4 h3g4 f6g4 f1h3 g4e3 d1a4 f8d6 d2f1 d6f4 c1e3 f4e3 f1e3 d8f6 f3e5 f6h4 e1e2 e8g8 e5c6 b7c6 a4c6 a8b8 h3e6 b8b2 e2d3 h4e4,1461,1472,-18,+5
